498
New York,NY,New York,40.6943,-73.9249,18972871
Los Angeles,CA,California,34.1141,-118.4068,12121244
Chicago,IL,Illinois,41.8375,-87.6866,8595181
Miami,FL,Florida,25.784,-80.2101,5711945
Dallas,TX,Texas,32.7935,-96.7667,5668165
Houston,TX,Texas,29.786,-95.3885,5650910
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5512873
Atlanta,GA,Georgia,33.7628,-84.422,5046555
Washington,DC,District of Columbia,38.9047,-77.0163,4810669
Boston,MA,Massachusetts,42.3188,-71.0852,4208580
Phoenix,AZ,Arizona,33.5722,-112.0892,4047095
Detroit,MI,Michigan,42.3834,-83.1024,3522856
Seattle,WA,Washington,47.6211,-122.3244,3438221
San Francisco,CA,California,37.7558,-122.4449,3290197
San Diego,CA,California,32.8313,-117.1222,3084174
Minneapolis,MN,Minnesota,44.9635,-93.2678,2856952
Brooklyn,NY,New York,40.6501,-73.9496,2736074
Tampa,FL,Florida,27.9945,-82.4447,2683956
Denver,CO,Colorado,39.762,-104.8758,2650725
Queens,NY,New York,40.7498,-73.7976,2405464
Baltimore,MD,Maryland,39.3051,-76.6144,2205092
Las Vegas,NV,Nevada,36.2333,-115.2654,2150373
St. Louis,MO,Missouri,38.6359,-90.2451,2092481
Portland,OR,Oregon,45.5371,-122.65,2036875
Riverside,CA,California,33.9381,-117.3949,2022285
Orlando,FL,Florida,28.4773,-81.337,1927699
Sacramento,CA,California,38.5677,-121.4685,1924167
San Juan,PR,Puerto Rico,18.3985,-66.061,1915105
San Antonio,TX,Texas,29.4632,-98.5238,1910785
San Jose,CA,California,37.3012,-121.848,1729879
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1720279
Cincinnati,OH,Ohio,39.1413,-84.506,1712287
Manhattan,NY,New York,40.7834,-73.9662,1694263
Cleveland,OH,Ohio,41.4764,-81.6805,1683059
Indianapolis,IN,Indiana,39.7771,-86.1458,1659305
Austin,TX,Texas,30.3005,-97.7522,1659251
Kansas City,MO,Missouri,39.1238,-94.5541,1644497
Columbus,OH,Ohio,39.9862,-82.9855,1556848
Charlotte,NC,North Carolina,35.2083,-80.8303,1516107
Virginia Beach,VA,Virginia,36.7335,-76.0435,1500764
Bronx,NY,New York,40.8501,-73.8662,1472654
Milwaukee,WI,Wisconsin,43.0642,-87.9675,1340981
Providence,RI,Rhode Island,41.823,-71.4187,1270149
Jacksonville,FL,Florida,30.3322,-81.6749,1220191
Salt Lake City,UT,Utah,40.7776,-111.9311,1135344
Nashville,TN,Tennessee,36.1715,-86.7842,1098486
Raleigh,NC,North Carolina,35.8324,-78.6429,1062018
Memphis,TN,Tennessee,35.1087,-89.9663,1034498
Louisville,KY,Kentucky,38.1663,-85.6485,1022630
Richmond,VA,Virginia,37.5295,-77.4756,1008069
Buffalo,NY,New York,42.9018,-78.8487,1004655
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,994284
Bridgeport,CT,Connecticut,41.1918,-73.1954,975078
New Orleans,LA,Louisiana,30.0687,-89.9288,925443
Fort Worth,TX,Texas,32.7817,-97.3474,908469
Hartford,CT,Connecticut,41.7661,-72.6834,907046
Tucson,AZ,Arizona,32.1541,-110.8787,875284
Honolulu,HI,Hawaii,21.3294,-157.846,835291
McAllen,TX,Texas,26.2252,-98.2467,809002
Omaha,NE,Nebraska,41.2627,-96.0529,806485
El Paso,TX,Texas,31.8476,-106.43,794344
Albuquerque,NM,New Mexico,35.1054,-106.6465,765693
Rochester,NY,New York,43.168,-77.6162,737309
Sarasota,FL,Florida,27.3387,-82.5432,727388
Fresno,CA,California,36.783,-119.7939,719558
